,AMO,IDMI,NAO,PDO,SOI
1900,0.09625000000000002,-0.10780539,0.22,0.4541666666666666,-5.550000000000001
1901,0.0875833333333333,-0.45608908333333337,-0.78,-0.12916666666666665,0.9916666666666666
1902,-0.10250000000000002,0.14340764166666664,-2.61,0.7675,0.4583333333333333
1903,-0.19358333333333333,-0.2827618166666667,1.69,0.16333333333333336,4.933333333333333
1904,-0.3480833333333333,-0.06170241666666667,1.46,-0.25250000000000006,4.35
1905,-0.2031666666666667,-0.11917266666666665,1.12,0.6416666666666666,-20.008333333333336
1906,-0.0735,-0.4930954166666666,2.29,0.4858333333333334,4.050000000000001
1907,-0.22724999999999998,-0.13405297166666666,2.36,0.11833333333333333,2.025
1908,-0.13025,-0.15195088333333337,2.51,0.37833333333333324,3.4083333333333337
1909,-0.1370833333333333,-0.42798411666666664,-0.87,-0.11666666666666668,3.6500000000000004
1910,-0.24750000000000005,-0.3640191916666667,1.62,-0.07583333333333338,12.733333333333333
1911,-0.21316666666666664,-0.27212615416666663,0.99,-0.15666666666666668,-5.333333333333333
1912,-0.22758333333333336,-0.15608971666666668,0.11,0.1525,-8.483333333333333
1913,-0.3870833333333334,0.021226725,2.85,0.5741666666666667,-6.033333333333334
1914,-0.28950000000000004,0.09056172083333332,2.4,0.16000000000000003,-7.925000000000001
1915,0.09450000000000001,-0.14249764166666665,-2.66,0.1775,-3.4416666666666678
1916,-0.07533333333333332,-0.18078645833333332,-0.6,-0.5091666666666667,7.400000000000001
1917,-0.2783333333333334,-0.21281225833333337,-2.21,-0.425,20.791666666666664
1918,-0.2595,0.2161319833333333,0.45,-0.13583333333333336,1.075
1919,-0.1851666666666667,-0.024275332499999996,-0.47,-0.10083333333333333,-9.35
1920,-0.33408333333333334,0.02570889166666664,2.97,-0.9066666666666667,2.1166666666666667
1921,-0.21924999999999997,-0.09790828749999998,2.32,-0.09750000000000007,5.908333333333334
1922,-0.31883333333333336,-0.09623860833333335,2.21,-0.19666666666666668,4.2
1923,-0.3226666666666667,0.1497150416666667,2.43,0.48249999999999993,-2.5749999999999997
1924,-0.15108333333333335,-0.1634552,-0.02,0.13666666666666671,4.441666666666666
1925,-0.15816666666666668,0.28240513333333334,0.18,0.19083333333333333,-1.408333333333334
1926,0.08725000000000001,0.06193055,-0.31,1.16,-3.8000000000000007
1927,0.11166666666666668,-0.10303631666666668,-0.49,0.14083333333333325,3.4666666666666672
1928,-0.0038333333333333297,-0.22570822499999998,1.43,0.15583333333333338,4.708333333333333
1929,-0.10966666666666668,-0.04368925833333334,-0.51,0.4008333333333334,4.866666666666668
1930,0.013166666666666675,-0.08716334166666666,1.46,-0.10416666666666669,0.49999999999999983
1931,0.18075,-0.20446466666666666,-0.48,0.7383333333333333,3.3250000000000006
1932,0.23083333333333333,-0.12229475833333335,-0.6,-0.020833333333333343,-2.9000000000000004
1933,0.19516666666666663,-0.1963168683333333,-0.21,-0.68,1.7916666666666667
1934,-0.005249999999999992,0.015231511666666664,1.91,1.1824999999999999,0.43333333333333296
1935,0.020250000000000004,0.21409362499999998,1.9,0.7983333333333332,1.9333333333333333
1936,0.15258333333333335,0.022637091666666675,-1.0,1.7308333333333337,0.8666666666666663
1937,0.2958333333333334,0.02121514166666667,-0.81,0.32416666666666666,1.366666666666667
1938,0.24316666666666664,-0.09038159999999999,3.75,0.155,9.125
1939,0.111,0.048390541666666655,-0.66,0.06499999999999996,0.8333333333333331
1940,-0.02783333333333334,-0.05784155500000001,-1.78,1.7691666666666668,-13.850000000000001
1941,0.17575,-0.03679079999999999,-2.1,1.9941666666666664,-12.825000000000001
1942,0.1848333333333333,-0.3406638191666666,-0.84,0.4658333333333334,1.2999999999999998
1943,0.034499999999999996,-0.0028985500000000045,3.31,0.11416666666666668,4.425
1944,0.35033333333333333,0.19136459166666664,0.71,-0.12666666666666668,-1.9416666666666667
1945,0.22083333333333335,-0.09762262499999998,-1.69,-0.19000000000000003,4.591666666666668
1946,0.019750000000000007,0.14908513333333331,1.62,-0.5833333333333333,-6.708333333333335
1947,-0.08466666666666668,-0.07947605,-2.73,0.5,2.308333333333333
1948,0.013000000000000003,-0.002905808333333336,0.68,-0.8741666666666666,-1.166666666666667
1949,0.09166666666666666,0.18820949166666665,1.53,-1.2283333333333333,-1.1083333333333334
1950,-0.008750000000000003,-0.12785803333333332,1.1,-1.8099999999999998,15.374999999999998
1951,0.20283333333333334,0.22537283333333336,0.49,-0.7691666666666667,-0.6916666666666663
1952,0.29441666666666666,0.07561704999999998,-1.54,-0.8658333333333333,-2.2833333333333337
1953,0.26358333333333334,0.22709086666666667,1.5,-0.15666666666666668,-6.8
1954,0.04241666666666666,-0.19275047166666667,3.26,-0.29083333333333333,4.074999999999999
1955,0.19199999999999998,-0.09266798333333333,-2.79,-1.948333333333333,10.583333333333332
1956,-0.01991666666666666,-0.22376261666666666,0.54,-1.804166666666667,10.725000000000001
1957,0.03966666666666667,-0.13385664166666666,-0.51,0.22749999999999995,-3.891666666666667
1958,0.21324999999999997,-0.4609898833333334,-2.12,0.6433333333333334,-3.1999999999999997
1959,0.052,-0.315098,1.83,-0.026666666666666675,-0.04166666666666682
1960,0.23449999999999996,-0.33428204999999994,-1.88,0.057500000000000016,3.8249999999999997
1961,0.09875000000000002,0.38861416666666665,0.47,-0.8174999999999999,0.8000000000000002
1962,0.07099999999999998,0.17099714083333337,-1.05,-1.1583333333333334,5.400000000000001
1963,0.003416666666666668,0.3960528749999999,-2.16,-0.6858333333333334,-1.9500000000000002
